Genus;Species;Author;Family;Classification K = 2/3;Classification K = 1/2;Total OG;Total SG;BEJ (SG);CR (SG);LSUR (SG);TIR (SG);JE (SG);LEP (SG);Finegan (SG);Letcher (SG);SV (OG);LEPviejo (OG);La Martita (OG);Clark (OG);Letcher (OG);TEAMplot (OG)
Abarema;adenophora;(Ducke) Barneby & J.W. Grimes;Fabaceae;Generalist;SG specialist;3;8;0;3;0;0;0;0;5;0;0;0;0;2;1;0
Aegiphila;falcata;Donn. Sm.;Lamiaceae;Too rare;Too rare;1;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0
Alchornea;costaricensis;Pax & K. Hoffm.;Euphorbiaceae;SG specialist;SG specialist;1;32;2;0;0;0;5;0;0;25;0;1;0;0;0;0
Alchornea;latifolia;Sw.;Euphorbiaceae;SG specialist;SG specialist;3;22;2;0;1;4;0;0;14;1;1;0;1;1;0;0
Alchorneopsis;floribunda;(Benth.) Muell.-Arg.;Euphorbiaceae;Generalist;Generalist;18;16;0;3;8;0;0;1;0;4;0;1;4;6;0;7
Alibertia;atlantica;comb. ined.;Rubiaceae;Too rare;Too rare;3;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0
Allophylus;psilospermus;Radlk.;Sapindaceae;Too rare;Too rare;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Ampelocera;macrocarpa;Gentry & Forero;Ulmaceae;OG specialist;OG specialist;26;1;0;0;0;0;0;0;0;1;8;1;1;16;0;0
Anacardium;occidentale;L.;Anacardiaceae;Too rare;Too rare;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Anaxagorea;crassipetala;Hemsl.;Annonaceae;OG specialist;OG specialist;56;8;0;5;0;0;0;0;0;3;0;0;0;37;3;16
Anaxagorea;sp;;Annonaceae;Too rare;Too rare;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Andira;inermis;(W. Wright) H.B.K.;Fabaceae;Exclusive OG;Exclusive OG;21;0;0;0;0;0;0;0;0;0;0;1;1;14;2;3
Annona;subnubila;H. Rainer;Annonaceae;Too rare;Too rare;5;0;0;0;0;0;0;0;0;0;2;0;0;3;0;0
Apeiba;membranacea;Spruce ex Benth.;Malvaceae;Generalist;Generalist;54;49;1;8;0;8;1;7;18;6;1;1;2;41;0;9
Ardisia;fimbrillifera;(Lundell);Myrsinaceae;OG specialist;OG specialist;29;1;0;0;0;0;0;1;0;0;0;0;1;25;0;3
Ardisia;standleyana;P.H.Allen;Myrsinaceae;Too rare;Exclusive OG;8;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0
Aspidosperma;spruceanum;Benth. ex MŸll. Arg.;Apocynaceae;Exclusive OG;Exclusive OG;12;0;0;0;0;0;0;0;0;0;10;0;2;0;0;0
Astrocaryum;confertum;H. Wendl. ex Burret;Arecaceae;Too rare;SG specialist;2;6;0;1;0;0;1;1;3;0;0;0;0;1;0;1
Attalea;butyracea;(Mutis ex L. f. ) Wess. Boer;Arecaceae;Too rare;Too rare;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0
Bactris;gasipaes;H.B.K.;Arecaceae;Exclusive SG;Exclusive SG;0;8;2;0;0;0;4;0;0;2;0;0;0;0;0;0
Bactris;gracilior;Burret;Arecaceae;Too rare;Too rare;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Balizia;elegans;Ducke;Fabaceae;Generalist;Generalist;17;11;5;0;0;0;0;1;4;1;2;2;1;10;1;1
Bauhinia;guianensis;Aubl.;Fabaceae;Too rare;Too rare;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Bellucia;grossularioides;(L.) Triana;Melastomataceae;Too rare;Too rare;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Borojoa;panamensis;Dwyer;Rubiaceae;Exclusive OG;Exclusive OG;18;0;0;0;0;0;0;0;0;0;7;2;2;6;0;1
Brosimum;alicastrum;Sw.;Moraceae;Too rare;Too rare;3;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0
Brosimum;guianensis;(Aubl.) J.E. Huber;Moraceae;OG specialist;OG specialist;21;2;0;1;0;1;0;0;0;0;8;0;3;8;1;1
Brosimum;lactescens;(Moore) C.C. Berg;Moraceae;OG specialist;OG specialist;80;6;1;0;1;0;1;2;1;0;12;9;4;34;1;20
Bunchosia;macrophylla;Rose ex Donn. Sm.;Malpighiaceae;Too rare;Too rare;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Byrsonima;arthropoda;A. Juss;Malpighiaceae;SG specialist;SG specialist;2;20;1;0;0;0;16;0;0;3;0;1;1;0;0;0
Byrsonima;crassifolia;(L.) Kunth;Malpighiaceae;SG specialist;SG specialist;12;35;0;5;0;1;0;9;19;1;0;1;0;9;0;2
Calatola;costaricensis;Standl.;Icacinaceae;Too rare;Too rare;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Callicarpa;acuminata;H.B.K.;Lamiaceae;Too rare;Too rare;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Calophyllum;brasiliense;Cambess.;Clusiaceae;Exclusive OG;Exclusive OG;23;0;0;0;0;0;0;0;0;0;12;0;1;5;4;1
Capparis;pittieri;Standl.;Brassicaceae;OG specialist;OG specialist;64;6;0;5;0;0;0;0;1;0;0;8;2;46;3;5
Carapa;guianensis;Audl.;Meliaceae;Generalist;OG specialist;71;22;8;0;1;0;1;0;4;8;6;8;1;53;2;1
Casearia;arborea;(L. C. Rich.) Urb.;Salicaceae;SG specialist;SG specialist;177;454;5;64;58;14;3;73;156;81;5;6;31;93;10;32
Casearia;commersoniana;Cambess.;Salicaceae;Generalist;Generalist;8;6;0;3;0;1;0;1;0;1;2;1;0;4;0;1
Casearia;coronata;Standl. & L. O. Williams;Salicaceae;Too rare;Too rare;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Casearia;sylvestris;SW.;Salicaceae;Too rare;Too rare;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1
Cassipourea;elliptica;(Sw.) Poir.;Rhizophoraceae;Exclusive OG;Exclusive OG;36;0;0;0;0;0;0;0;0;0;0;0;0;34;1;1
Castilla;elastica;Sesse;Moraceae;Generalist;Generalist;7;6;0;0;0;0;0;0;0;6;0;0;0;7;0;0
Cecropia;insignis;Liebm.;Urticaceae;SG specialist;SG specialist;8;23;0;0;8;0;2;1;9;3;0;0;0;5;0;3
Cecropia;obtusifolia;Bertol.;Urticaceae;Generalist;Generalist;12;16;2;0;0;0;4;0;2;8;0;0;1;9;0;2
Cedrela;odorata;L.;Meliaceae;Too rare;Too rare;4;2;1;0;1;0;0;0;0;0;0;0;0;2;0;2
Ceiba;pentandra;(L.) Gaertn.;Malvaceae;Too rare;Too rare;2;2;0;1;0;0;0;0;0;1;0;0;0;2;0;0
Cespedesia;spathulata;Seem.;Ochnaceae;Generalist;Generalist;33;35;2;3;1;12;1;3;13;0;5;2;5;15;6;0
Chimarrhis;parviflora;Standl.;Rubiaceae;Too rare;Too rare;3;1;0;1;0;0;0;0;0;0;0;0;1;2;0;0
Chrysochlamys;nicaraguensis;"""(Oerst., Planch. & Triana) Hemsl """;Clusiaceae;Too rare;Too rare;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Chrysophyllum;colombianum;(Aubrev.) T. D. Penn.;Sapotaceae;Too rare;Exclusive OG;6;0;0;0;0;0;0;0;0;0;4;1;1;0;0;0
Chrysophyllum;hirsutum;Cronq.;Sapotaceae;Too rare;Too rare;0;3;0;3;0;0;0;0;0;0;0;0;0;0;0;0
Chrysophyllum;venezuelanense;(Pierre);Sapotaceae;Exclusive OG;Exclusive OG;13;0;0;0;0;0;0;0;0;0;0;1;0;9;2;1
Cinnamomum;chavarrianum;Hammel;Lauraceae;Generalist;Generalist;4;6;0;1;0;0;0;1;4;0;0;0;0;4;0;0
Citrus;sinensis;(L) Osbeck;Rutaceae;Too rare;Too rare;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Clarisia;mexicana;(Liebm.) Lanj.;Moraceae;Too rare;Too rare;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2
Clethra;costaricensis;Britton;Clethraceae;SG specialist;SG specialist;1;17;0;2;0;0;1;2;9;3;0;0;0;0;1;0
Coccoloba;tuerckheimii;Donn. sm.;Polygonaceae;Too rare;Too rare;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0
Cocos;nucifera;L.;Arecaceae;Too rare;Too rare;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0
Colubrina;spinosa;Donn. Sm.;Rhamnaceae;OG specialist;OG specialist;45;4;0;1;0;0;0;0;1;2;3;1;0;39;0;2
Compsoneura;mexicana;(Hemsl.) Janovec;Myristicaceae;Too rare;Too rare;2;1;0;1;0;0;0;0;0;0;0;0;0;1;0;1
Conceveiba;pleiostemona;Donn. Sm.;Euphorbiaceae;Generalist;SG specialist;17;26;0;8;0;0;0;3;9;6;0;0;0;10;1;6
Conostegia;superba;Naudin;Melastomataceae;Too rare;Too rare;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Cordia;alliodora;(Ruiz & Pavon) Cham. ex DC.;Boraginaceae;SG specialist;SG specialist;2;28;8;0;0;0;16;0;0;4;0;0;0;2;0;0
Cordia;bicolor;A. DC.;Boraginaceae;SG specialist;SG specialist;17;220;2;25;0;18;9;55;91;20;0;0;8;9;0;0
Cordia;correae;James S. Mill.;Boraginaceae;Too rare;Too rare;1;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0
Cordia;dwyeri;Nowicke;Boraginaceae;Generalist;Generalist;14;18;0;0;0;1;0;3;11;3;3;3;2;6;0;0
Cordia;lucidula;I. M. Johnst.;Boraginaceae;Too rare;Too rare;1;2;0;0;0;0;0;0;0;2;0;0;0;0;0;1
Cordia;megalantha;S. F. Blake;Boraginaceae;Too rare;Too rare;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Couepia;polyandra;(Kunth) Rose;Chrysobalanaceae;Too rare;Too rare;3;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0
Coussarea;hondensis;C. M. Taylor & W. C. Burger;Rubiaceae;Exclusive OG;Exclusive OG;23;0;0;0;0;0;0;0;0;0;0;0;0;20;0;3
Coussarea;impetiolaris;Donn. Sm.;Rubiaceae;Too rare;Too rare;4;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0
Coussarea;nigrescens;C.M.Taylor & Hammel;Rubiaceae;Too rare;Too rare;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
Coussarea;psychotrioides;C.M. Taylor & Hammel;Rubiaceae;Too rare;Too rare;5;0;0;0;0;0;0;0;0;0;1;1;0;3;0;0
